# name, allowedP, trueP, n, [sentinel], time
hpce.fast_fourier_transform, 8, 8, 64, 14.1985, 8.81677e-005
hpce.fast_fourier_transform, 8, 8, 76, 1.65633, 0.000255173
hpce.fast_fourier_transform, 8, 8, 90, 7.4357, 0.000143214
hpce.fast_fourier_transform, 8, 8, 107, 3.58678, 0.000189864
hpce.fast_fourier_transform, 8, 8, 128, 5.53084, 0.000185199
hpce.fast_fourier_transform, 8, 8, 152, 7.99258, 0.000299957
hpce.fast_fourier_transform, 8, 8, 181, 8.10526, 0.000295758
hpce.fast_fourier_transform, 8, 8, 215, 5.97507, 0.000374596
hpce.fast_fourier_transform, 8, 8, 256, 4.86155, 0.000371331
hpce.fast_fourier_transform, 8, 8, 304, 22.3973, 0.000593383
hpce.fast_fourier_transform, 8, 8, 362, 4.18397, 0.000580321
hpce.fast_fourier_transform, 8, 8, 430, 14.4137, 0.000789311
hpce.fast_fourier_transform, 8, 8, 512, 10.1029, 0.000758056
hpce.fast_fourier_transform, 8, 8, 608, 18.3152, 0.00117883
hpce.fast_fourier_transform, 8, 8, 724, 7.20496, 0.00115131
hpce.fast_fourier_transform, 8, 8, 861, 9.97479, 0.0015539
hpce.fast_fourier_transform, 8, 8, 1024, 19.7117, 0.00146246
hpce.fast_fourier_transform, 8, 8, 1217, 40.097, 0.0022737
hpce.fast_fourier_transform, 8, 8, 1448, 22.5895, 0.00229189
hpce.fast_fourier_transform, 8, 8, 1722, 16.3501, 0.00295572
hpce.fast_fourier_transform, 8, 8, 2048, 14.2226, 0.00294499
hpce.fast_fourier_transform, 8, 8, 2435, 34.4931, 0.0044527
hpce.fast_fourier_transform, 8, 8, 2896, 39.5912, 0.00449049
hpce.fast_fourier_transform, 8, 8, 3444, 25.428, 0.00617827
hpce.fast_fourier_transform, 8, 8, 4096, 27.2928, 0.00638773
hpce.fast_fourier_transform, 8, 8, 4870, 26.5156, 0.0124918
hpce.fast_fourier_transform, 8, 8, 5792, 47.4219, 0.0169898
hpce.fast_fourier_transform, 8, 8, 6888, 25.4685, 0.0161244
hpce.fast_fourier_transform, 8, 8, 8192, 74.8637, 0.0153715
hpce.fast_fourier_transform, 8, 8, 9741, 55.1308, 0.0257627
hpce.fast_fourier_transform, 8, 8, 11585, 17.8966, 0.0209942
hpce.fast_fourier_transform, 8, 8, 13777, 84.3912, 0.0260855
hpce.fast_fourier_transform, 8, 8, 16384, 77.7499, 0.0251577
hpce.fast_fourier_transform, 8, 8, 19483, 148.231, 0.0469869
hpce.fast_fourier_transform, 8, 8, 23170, 152.583, 0.058194
hpce.fast_fourier_transform, 8, 8, 27554, 136.307, 0.0548156
hpce.fast_fourier_transform, 8, 8, 32768, 146.986, 0.0623355
hpce.fast_fourier_transform, 8, 8, 38967, 43.113, 0.113179
hpce.fast_fourier_transform, 8, 8, 46340, 100.126, 0.119002
hpce.fast_fourier_transform, 8, 8, 55108, 10.0104, 0.153032
hpce.fast_fourier_transform, 8, 8, 65536, 170.593, 0.152432
hpce.fast_fourier_transform, 8, 8, 77935, 210.73, 0.242741
hpce.fast_fourier_transform, 8, 8, 92681, 135.635, 0.2688
hpce.fast_fourier_transform, 8, 8, 110217, 36.6949, 0.331927
hpce.fast_fourier_transform, 8, 8, 131072, 102.951, 0.322502
hpce.fast_fourier_transform, 8, 8, 155871, 342.758, 0.50362
hpce.fast_fourier_transform, 8, 8, 185363, 167.773, 0.526757
